swc_name,length_um,start_x,start_y,start_z,start_structure,start_hemisphere,end_x,end_y,end_z,end_structure,end_hemisphere,start_region_hemi,end_region_hemi
cluster_007.swc,670465.5625,7325,3650,4050,PO,Left,6325,3775,9700,SSs6a,Right,PO_Left,SSs6a_Right
cluster_008.swc,1838.130127,8025,3925,4150,POL,Left,8175,4200,4275,TH,Left,POL_Left,TH_Left
cluster_013.swc,7910.355469,3750,7225,4350,outside_brain,Left,3550,7250,4600,outside_brain,Left,outside_brain_Left,outside_brain_Left
cluster_022.swc,1661.285515,7625,3150,4600,APN,Left,7750,3175,4900,APN,Left,APN_Left,APN_Left
cluster_024.swc,2201.046143,8400,4950,4575,MB,Left,8500,5075,4950,ml,Left,MB_Left,ml_Left
cluster_025.swc,3928.656738,4550,7300,4650,OT,Left,4375,7375,4875,outside_brain,Left,OT_Left,outside_brain_Left
cluster_026.swc,2098.284668,8200,3900,4650,MRN,Left,8250,3925,5000,MRN,Left,MRN_Left,MRN_Left
cluster_029.swc,1500.249268,6700,4500,4775,VAL,Left,6750,4475,5075,PCN,Left,VAL_Left,PCN_Left
cluster_054.swc,2270.114502,5025,2550,5625,ACAv1,Left,4925,2950,5725,ccb,Right,ACAv1_Left,ccb_Right
cluster_064.swc,37648.77148,2625,7225,5775,outside_brain,Right,2125,7350,6550,outside_brain,Right,outside_brain_Right,outside_brain_Right
cluster_076.swc,5355.913574,7575,4575,6050,SPFm,Right,7375,5000,6675,VM,Right,SPFm_Right,VM_Right
cluster_093.swc,12181.06641,2725,7375,6550,outside_brain,Right,2975,7450,6875,outside_brain,Right,outside_brain_Right,outside_brain_Right
cluster_094.swc,1685.885132,8025,4625,6575,MRN,Right,7775,4725,6900,FF,Right,MRN_Right,FF_Right
cluster_097.swc,8735.355469,2300,7300,6725,outside_brain,Right,2150,7375,6950,outside_brain,Right,outside_brain_Right,outside_brain_Right
cluster_104.swc,3835.355469,2350,7350,7100,outside_brain,Right,2325,7450,7325,outside_brain,Right,outside_brain_Right,outside_brain_Right
cluster_111.swc,1739.212891,6750,4000,7475,VPM,Right,7075,3950,7825,VPM,Right,VPM_Right,VPM_Right
cluster_112.swc,3253.474121,5675,3425,7550,CP,Right,5675,3375,7975,CP,Right,CP_Right,CP_Right
cluster_119.swc,1415.709229,6925,450,7975,outside_brain,Right,6900,250,8050,outside_brain,Right,outside_brain_Right,outside_brain_Right
cluster_129.swc,1700.948486,6325,2750,8300,CP,Right,6350,2375,8650,SSp-bfd6a,Right,CP_Right,SSp-bfd6a_Right
cluster_137.swc,2119.116943,6375,2525,8625,SSp-bfd6b,Right,6475,2150,8950,SSp-bfd5,Right,SSp-bfd6b_Right,SSp-bfd5_Right
cluster_143.swc,1609.010498,5450,4750,9250,ec,Right,5700,4675,9325,CP,Right,ec_Right,CP_Right
cluster_146.swc,1584.290886,5700,4575,9300,CP,Right,5825,4475,9550,VISC6a,Right,CP_Right,VISC6a_Right
cluster_157.swc,1645.795532,7900,4400,9700,alv,Right,7850,4375,9925,ECT6a,Right,alv_Right,ECT6a_Right
cluster_167.swc,2060.434814,7850,6100,10100,PIR,Right,7700,6375,10425,outside_brain,Right,PIR_Right,outside_brain_Right
